,scores,names,logfoldchanges,pvals,pvals_adj
80,-8.391529083251953,TIMM8A,-1.3698136806488037,4.798608694180596e-17,1.2100195380078848e-14
81,-8.352088928222656,THOC2,-1.118970274925232,6.706586976334278e-17,1.670512670629605e-14
82,-8.346427917480469,S100A10,-0.8562720417976379,7.03583565917031e-17,1.731408955886188e-14
83,8.30472469329834,RPS29,0.6951094269752502,1.0005140181527537e-16,2.4327974786630948e-14
84,-8.300384521484375,PPP1R14A,-0.9962596893310547,1.0377525539008414e-16,2.4936583427558454e-14
85,-8.222071647644043,B2M,-0.8492670059204102,2.0001778084621412e-16,4.750422295097586e-14
86,-8.201313972473145,AP1S3,-2.4623992443084717,2.377735787602334e-16,5.5822130415836405e-14
87,-8.17093276977539,MSN,-1.4662964344024658,3.0601491499300785e-16,7.102675725832029e-14
88,-8.134700775146484,PRKCA,-1.7891855239868164,4.1295601850544906e-16,9.47710862693685e-14
89,8.131115913391113,ISYNA1,1.2186968326568604,4.2535717780194735e-16,9.651776326793149e-14
90,-8.12979507446289,HLA-A,-1.0510419607162476,4.300179416098784e-16,9.651776326793149e-14
91,-8.1265869140625,TGFBI,-2.1348259449005127,4.415475024441689e-16,9.712529361805703e-14
92,-8.126398086547852,EEA1,-2.733367443084717,4.422351190442743e-16,9.712529361805703e-14
93,-8.10922622680664,MT1A,-2.404467821121216,5.094326585369491e-16,1.1059704642189092e-13
94,-8.107150077819824,HIPK2,-2.5524020195007324,5.182081779918616e-16,1.1059704642189092e-13
