"","status","family","pval","qval","index","gene_ids","mito","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","n_cells","gene_short_name","use_for_ordering"
"HESX1","OK","negbinomial.size",0.72351542683229,0.890158967259004,"HESX1","ENSG00000163666","False",54,0.017008798,0.016865768,98.41642228739,58,4.0775375,54,"HESX1",FALSE
"APPL1","OK","negbinomial.size",9.00516735192125e-08,1.09612957784858e-06,"APPL1","ENSG00000157500","False",2449,1.9029325,1.0657214,28.1818181818182,6489,8.778018,2449,"APPL1",FALSE
"ASB14","OK","negbinomial.size",0.251813537339259,0.499439760265523,"ASB14","ENSG00000239388","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"ASB14",FALSE
"DNAH12","OK","negbinomial.size",0.989021179652731,0.999999999652452,"DNAH12","ENSG00000174844","False",9,0.0026392962,0.0026358194,99.7360703812317,9,2.3025851,9,"DNAH12",FALSE
"PDE12","OK","negbinomial.size",0.00736402825793848,0.0346168647107925,"PDE12","ENSG00000174840","False",709,0.24076246,0.21572608,79.208211143695,821,6.7117405,709,"PDE12",FALSE
"ARF4","OK","negbinomial.size",1.68412852670957e-06,1.72855905316799e-05,"ARF4","ENSG00000168374","False",2566,1.9651027,1.0869117,24.7507331378299,6701,8.810162,2566,"ARF4",FALSE
"ARF4-AS1","OK","negbinomial.size",0.474590606525137,0.719904429133006,"ARF4-AS1","ENSG00000272146","False",177,0.05366569,0.052275218,94.8093841642229,183,5.214936,177,"ARF4-AS1",FALSE
"DENND6A","OK","negbinomial.size",0.0370510311975651,0.128558055232326,"DENND6A","ENSG00000174839","False",378,0.120527856,0.11379988,88.9149560117302,411,6.0210233,378,"DENND6A",FALSE
"DENND6A-AS1","OK","negbinomial.size",0.880545337499288,0.974012375760788,"DENND6A-AS1","ENSG00000239801","False",7,0.0020527858,0.0020506817,99.7947214076246,7,2.0794415,7,"DENND6A-AS1",FALSE
"RP11-755B10.3","OK","negbinomial.size",0.309197947049555,0.567316571010345,"RP11-755B10.3","ENSG00000241933","False",25,0.0076246336,0.007595713,99.266862170088,26,3.295837,25,"RP11-755B10.3",FALSE
"SLMAP","OK","negbinomial.size",0.384023485540443,0.641754128372656,"SLMAP","ENSG00000163681","False",1842,0.8782991,0.6303666,45.9824046920821,2995,8.0050335,1842,"SLMAP",FALSE
"FLNB","OK","negbinomial.size",0.151133754009349,0.35752917832302,"FLNB","ENSG00000136068","False",2661,2.2680352,1.184189,21.9648093841642,7734,8.953511,2661,"FLNB",FALSE
